"variable","GEOID","NAME","estimate","moe","label","concept"
"B28010_003","72","Puerto Rico",540383,4147,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop","COMPUTERS IN HOUSEHOLD"
"B28010_004","21","Kentucky",68459,1681,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","39","Ohio",215739,3709,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","41","Oregon",72146,1891,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","22","Louisiana",53909,2008,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","40","Oklahoma",52202,1632,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","42","Pennsylvania",258632,3679,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","23","Maine",37956,1405,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","01","Alabama",68577,1925,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","04","Arizona",100413,2203,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","06","California",390716,4992,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","09","Connecticut",60288,1721,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","11","District of Columbia",6787,601,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","44","Rhode Island",19721,1130,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","24","Maryland",83230,2311,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","02","Alaska",7831,579,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","05","Arkansas",42336,1477,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","08","Colorado",78252,2209,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","10","Delaware",14877,898,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","12","Florida",307381,5012,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","45","South Carolina",72192,2184,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","25","Massachusetts",118163,2359,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","27","Minnesota",94746,1883,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","29","Missouri",104612,2527,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","31","Nebraska",34257,1143,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","33","New Hampshire",28679,1078,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","13","Georgia",120735,2600,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","46","South Dakota",17612,806,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","26","Michigan",169815,2698,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","28","Mississippi",35717,1618,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","30","Montana",23965,884,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","32","Nevada",43011,1553,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","34","New Jersey",131728,2603,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","15","Hawaii",16389,951,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","47","Tennessee",96071,2309,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
"B28010_004","49","Utah",26356,1351,"Estimate!!Total:!!Has one or more types of computing devices:!!Desktop or laptop!!Desktop or laptop alone","COMPUTERS IN HOUSEHOLD"
